  0.000538	     0.037
      0.16	    0.0324
     0.277	    0.0926
     0.336	     0.148
     0.483	     0.213
     0.643	     0.231
     0.846	     0.241
      1.02	     0.241
      1.08	     0.282
      1.08	     0.347
       1.1	     0.431
       1.1	     0.514
       1.1	      0.56
      1.11	     0.625
      1.14	     0.713
      1.17	     0.773
      1.23	     0.861
      1.31	     0.921
      1.44	     0.954
      1.58	     0.968
      1.79	     0.968
      1.92	     0.954
      2.06	     0.944
      2.21	     0.944
      2.26	     0.907
      2.26	      0.88
      2.25	     0.833
      2.25	     0.787
      2.25	     0.759
      2.25	     0.722
      2.25	     0.685
      2.26	     0.625
      2.26	     0.593
      2.26	     0.551
      2.27	     0.509
      2.29	     0.458
      2.35	     0.421
      2.46	     0.412
      2.65	     0.426
      2.77	     0.431
      2.96	     0.449
      3.09	     0.468
      3.23	     0.528
      3.34	     0.602
      3.38	     0.657
       3.4	     0.708
      3.41	     0.764
      3.48	     0.833
      3.57	      0.88
      3.69	     0.884
      3.79	     0.875
      3.88	     0.861
      4.04	     0.852
      4.17	     0.843
       4.3	     0.833
       4.4	     0.824
       4.4	     0.769
       4.4	     0.727
       4.4	     0.644
       4.4	     0.579
       4.4	     0.537
      4.39	       0.5
      4.41	     0.449
      4.41	     0.421
      4.42	      0.38
      4.42	     0.338
      4.44	     0.306
      4.49	     0.292
      4.61	     0.301
      4.74	     0.292
      4.83	     0.264
      4.99	     0.208
       5.1	     0.176
       5.2	     0.153
      5.29	      0.13
